ENSG00000057608	DAP4_2163
ENSG00000058056	DAP2_2630
ENSG00000058063	DAP3_3972
ENSG00000058085	DAP2_5985
ENSG00000058091	DAP4_2867
ENSG00000058262	DAP1_2261
ENSG00000058272	DAP4_1024
ENSG00000058335	DAP4_1634
ENSG00000058668	DAP4_4201
ENSG00000058673	DAP3_5131
ENSG00000059377	DAP2_4107
ENSG00000059573	DAP4_5082
ENSG00000059588	DAP3_3520
ENSG00000059728	DAP1_2358
ENSG00000059769	DAP3_1680
ENSG00000059804	DAP4_2117
ENSG00000059915	DAP1_3783
ENSG00000060138	DAP2_2813
ENSG00000060558	DAP3_5572
ENSG00000060656	DAP4_3002
ENSG00000060718	DAP4_2230
ENSG00000060971	DAP2_5504
ENSG00000060982	DAP3_0742
ENSG00000061337	DAP2_5910
ENSG00000061676	DAP4_4208
ENSG00000061936	DAP3_1983
ENSG00000061938	DAP1_0901
ENSG00000062038	DAP1_4297
ENSG00000062524	DAP1_5517
ENSG00000062725	DAP2_5759
ENSG00000062822	DAP4_5880
ENSG00000063046	DAP2_2019
ENSG00000063177	DAP4_3695
ENSG00000063180	DAP3_6016
ENSG00000063244	DAP3_0587
ENSG00000063438	DAP1_1559
ENSG00000063601	DAP2_0300
ENSG00000063660	DAP1_1836
ENSG00000063854	DAP1_2230
ENSG00000063978	DAP4_1862
ENSG00000064012	DAP3_1227
ENSG00000064199	DAP4_2829
ENSG00000064205	DAP1_1761
ENSG00000064225	DAP2_2968
ENSG00000064300	DAP2_4950
ENSG00000064393	DAP1_5070
ENSG00000064419	DAP4_3007
ENSG00000064489	DAP4_5672
ENSG00000064547	DAP4_1888
ENSG00000064601	DAP2_0697
ENSG00000064651	DAP1_0174
ENSG00000064655	DAP2_0067
ENSG00000064666	DAP3_4334
ENSG00000064692	DAP2_5378
ENSG00000064787	DAP2_0991
ENSG00000064835	DAP2_1270
ENSG00000064886	DAP2_2271
ENSG00000064932	DAP4_1869
ENSG00000064961	DAP2_5915
ENSG00000064989	DAP1_3399
ENSG00000064995	DAP1_5157
ENSG00000065000	DAP1_2822
ENSG00000065029	DAP4_4077
ENSG00000065054	DAP4_0799
ENSG00000065057	DAP2_3995
ENSG00000065135	DAP2_5906
ENSG00000065150	DAP3_3077
ENSG00000065154	DAP2_2401
ENSG00000065243	DAP2_1651
ENSG00000065308	DAP2_3857
ENSG00000065320	DAP3_2459
ENSG00000065357	DAP1_3740
ENSG00000065361	DAP4_1344
ENSG00000065427	DAP2_5607
ENSG00000065485	DAP2_0122
ENSG00000065534	DAP1_1493
ENSG00000065548	DAP2_2180
ENSG00000065559	DAP3_4002
ENSG00000065609	DAP4_1714
ENSG00000065613	DAP4_2827
ENSG00000065618	DAP2_4019
ENSG00000065675	DAP4_4197
ENSG00000065717	DAP2_2420
ENSG00000065833	DAP1_0515
ENSG00000065883	DAP1_1256
ENSG00000065911	DAP1_1044
ENSG00000065978	DAP4_5981
ENSG00000065989	DAP4_5874
ENSG00000066027	DAP3_5973
ENSG00000066032	DAP4_1173
ENSG00000066044	DAP1_1587
ENSG00000066056	DAP4_3294
ENSG00000066117	DAP4_1949
ENSG00000066135	DAP1_5815
ENSG00000066136	DAP4_2989
ENSG00000066336	DAP4_4042
ENSG00000066382	DAP4_4205
ENSG00000066468	DAP4_2903
ENSG00000066629	DAP3_5097
ENSG00000066654	DAP4_2225
ENSG00000066697	DAP2_1326
ENSG00000066855	DAP4_0807
ENSG00000066926	DAP3_2867
ENSG00000067048	DAP1_5534
ENSG00000067057	DAP1_5639
ENSG00000067064	DAP1_1870
ENSG00000067066	DAP4_2216
ENSG00000067082	DAP1_0056
